Date,Open,High,Low,Close,Adj Close,Volume
23-Aug-21,4435.25,4485.75,4433.5,4475.5,4475.5,496055
20-Aug-21,4403.5,4440.5,4371.75,4437,4437,814722
19-Aug-21,4389.25,4414.75,4347.5,4401.5,4401.5,1248532
18-Aug-21,4437,4449.75,4381.75,4394.5,4394.5,936206
17-Aug-21,4471,4472.25,4412,4443.5,4443.5,1042708
16-Aug-21,4456.25,4476.5,4432.5,4474,4474,658401
13-Aug-21,4456,4463.25,4451,4462.5,4462.5,352574
12-Aug-21,4440.5,4456.25,4430.25,4454.5,4454.5,365690
11-Aug-21,4429,4443.5,4420.5,4440.5,4440.5,448269
10-Aug-21,4427,4438.25,4416.75,4430,4430,434681
9-Aug-21,4428.25,4432,4412.25,4425.75,4425.75,421819
6-Aug-21,4420.5,4433.25,4416,4429.5,4429.5,463755
5-Aug-21,4396.75,4422.5,4393.75,4421.5,4421.5,392989
4-Aug-21,4409,4415.25,4391.25,4394.75,4394.75,555035
3-Aug-21,4384.25,4417,4365.25,4415,4415,756469
2-Aug-21,4395.5,4419.75,4377.25,4379.75,4379.75,693668
30-Jul-21,4394.75,4405,4370.5,4389.5,4389.5,747455
29-Jul-21,4393.25,4422.75,4380.25,4411.75,4411.75,544719
28-Jul-21,4379.75,4407.75,4375.75,4393.75,4393.75,697343
27-Jul-21,4415.75,4416,4364.5,4394.5,4394.5,934515
26-Jul-21,4400.25,4416.75,4375.5,4414.25,4414.25,507978
23-Jul-21,4371,4407.75,4367.5,4403,4403,474398
22-Jul-21,4355.25,4371.5,4341.5,4359.5,4359.5,500563
21-Jul-21,4319,4355.25,4309.75,4350.5,4350.5,578208
20-Jul-21,4263,4328.75,4252.75,4315.5,4315.5,900448
19-Jul-21,4320.25,4322.25,4224,4251.25,4251.25,1324064
16-Jul-21,4348,4368,4314.25,4318.5,4318.5,755256
15-Jul-21,4367,4370.25,4332.25,4352,4352,772186
14-Jul-21,4359.75,4384.5,4349.75,4367.75,4367.75,691858
13-Jul-21,4376.75,4383.75,4356.5,4361.25,4361.25,660164
12-Jul-21,4362.25,4378.75,4341.75,4376.5,4376.5,497451
9-Jul-21,4310.75,4363.5,4293,4360,4360,579934
8-Jul-21,4352.75,4353,4279.25,4313,4313,1139550
7-Jul-21,4328.75,4353,4320.25,4349.75,4349.75,683795
6-Jul-21,4340.25,4348.25,4305.5,4334,4334,735486
2-Jul-21,4310,4347,4308.25,4342.75,4342.75,446891
1-Jul-21,4293.75,4312,4286,4310.75,4310.75,498634
30-Jun-21,4284.5,4294,4269.25,4288.5,4288.5,535229
29-Jun-21,4281.25,4291,4271.5,4282,4282,448502
28-Jun-21,4275,4282,4264.25,4280.5,4280.5,439455
25-Jun-21,4262.25,4276.75,4253.5,4271.25,4271.25,388417
24-Jun-21,4233.75,4263.25,4232,4256,4256,412380
23-Jun-21,4237.75,4248.25,4230.5,4231.5,4231.5,431530
22-Jun-21,4219,4245.25,4205.75,4236.25,4236.25,524090
21-Jun-21,4142.5,4219.75,4126.5,4213.75,4213.75,724705
18-Jun-21,4222.75,4231.5,4183.75,4187.25,4187.25,983593
17-Jun-21,4214.25,4232.5,4192.75,4222.25,4222.25,74669
16-Jun-21,4248,4251.25,4200.75,4223,4223,69818
15-Jun-21,4255.25,4267.5,4238,4246.5,4246.5,61522
14-Jun-21,4246.5,4257.5,4233.5,4254.75,4254.75,82896
11-Jun-21,4240,4247.75,4230.75,4245.75,4245.75,147389
10-Jun-21,4222.25,4249,4207,4238,4238,737328
9-Jun-21,4225.75,4235.5,4217,4218.5,4218.5,561993
8-Jun-21,4227.5,4236.75,4206,4225.75,4225.75,752116
7-Jun-21,4232,4234.5,4214,4225.5,4225.5,598200
4-Jun-21,4191,4232,4177,4228.25,4228.25,571086
3-Jun-21,4207.5,4213.5,4165,4191.25,4191.25,872101
2-Jun-21,4198.25,4215,4190.75,4206.25,4206.25,660607
1-Jun-21,4206.5,4230,4189.75,4198.5,4198.5,807350
28-May-21,4211.5,4217.75,4201,4202.5,4202.5,525234
27-May-21,4193.25,4211.5,4177.75,4199,4199,631352
26-May-21,4188.25,4204.5,4180.5,4193,4193,613012
25-May-21,4199.5,4212.75,4179.25,4185.5,4185.5,750389
24-May-21,4151.25,4206.25,4142.5,4193.75,4193.75,565613
21-May-21,4152.75,4185,4147,4151.75,4151.75,905340
20-May-21,4108,4169,4084.5,4154.25,4154.25,866585
19-May-21,4114.25,4123,4055.75,4111.5,4111.5,1331299
18-May-21,4159.5,4179.5,4111.75,4123,4123,754371
17-May-21,4169.25,4178.75,4136.5,4157.75,4157.75,840517
14-May-21,4112.25,4178.25,4104.75,4169,4169,741723
13-May-21,4053.75,4126.75,4029.25,4107,4107,1390197
12-May-21,4140.25,4150.25,4051,4058.75,4058.75,1630334
11-May-21,4177,4185.5,4103.75,4146.25,4146.25,1592809
10-May-21,4226.5,4238,4172,4183.5,4183.5,929364
7-May-21,4196.5,4232.25,4191.75,4225.25,4225.25,788472
6-May-21,4159,4197,4140.5,4194.25,4194.25,1088435
5-May-21,4158.5,4180,4153,4160,4160,797762
4-May-21,4184,4185.75,4120.5,4158.25,4158.25,1198349
3-May-21,4181.25,4202.5,4181,4185.75,4185.75,656266
30-Apr-21,4200.5,4201.25,4167.25,4174.5,4174.5,945134
29-Apr-21,4185,4210.75,4168,4203.5,4203.5,959965
28-Apr-21,4180.5,4194,4170.25,4176.25,4176.25,675029
27-Apr-21,4181.5,4191.75,4166.75,4179,4179,572040
26-Apr-21,4170.5,4186,4163.25,4179.5,4179.5,557351
23-Apr-21,4129.75,4186.75,4127.5,4171.5,4171.5,756478
22-Apr-21,4157.75,4171.75,4115.25,4127.75,4127.75,1323732
21-Apr-21,4120.75,4167.25,4112.75,4164.75,4164.75,849638
20-Apr-21,4156.5,4167.5,4110.5,4126.5,4126.5,1144209
19-Apr-21,4165.5,4174.75,4142,4155.5,4155.5,1024651
16-Apr-21,4162.5,4183.5,4154.25,4176.25,4176.25,694848
15-Apr-21,4123.25,4166.75,4119.5,4162.5,4162.5,656640
14-Apr-21,4134.5,4143.75,4113,4118,4118,1026844
13-Apr-21,4122.5,4139.75,4101.25,4132.75,4132.75,646010
12-Apr-21,4114,4124.25,4104.5,4120.25,4120.25,665456
9-Apr-21,4098,4121.5,4081,4119.5,4119.5,626181
8-Apr-21,4075,4098.5,4072.5,4089,4089,591195
7-Apr-21,4067,4075.75,4056.5,4070,4070,669472
6-Apr-21,4070,4076,4052.25,4064,4064,732333
5-Apr-21,4028.5,4073.75,4021,4067.75,4067.75,589360
1-Apr-21,3967,4015.25,3964.5,4010,4010,673486
31-Mar-21,3949.5,3983.75,3941.5,3967.5,3967.5,764414
30-Mar-21,3964.25,3969,3933.75,3947.75,3947.75,1057421
29-Mar-21,3961.5,3971.25,3929,3959,3959,1376697
26-Mar-21,3907.75,3967.75,3900.75,3964.75,3964.75,1042676
25-Mar-21,3883,3909.5,3843.25,3900.5,3900.5,1454050
24-Mar-21,3905.5,3931.75,3877.5,3880.75,3880.75,1171625
23-Mar-21,3933,3938.75,3890.5,3899.75,3899.75,1142576
22-Mar-21,3893.75,3944.5,3885,3930,3930,756434
19-Mar-21,3921.25,3934.5,3906.75,3912.62,3912.62,1073241
18-Mar-21,3971.75,3988.5,3907.5,3916.5,3916.5,93285
17-Mar-21,3965.5,3983.75,3935.25,3974,3974,118706
16-Mar-21,3966.25,3980.25,3952.75,3962.5,3962.5,118247
15-Mar-21,3946,3969.75,3922,3967.5,3967.5,149588
12-Mar-21,3937.25,3947.75,3910,3942.25,3942.25,350592
11-Mar-21,3908.75,3958.5,3893,3936.75,3936.75,731693
10-Mar-21,3877,3916.25,3856.75,3896.5,3896.5,1131511
9-Mar-21,3831.5,3901.25,3826.25,3873.25,3873.25,943071
8-Mar-21,3854.5,3879.25,3796.25,3819.25,3819.25,1587819
5-Mar-21,3765,3850,3728.5,3839,3839,2201668
4-Mar-21,3817.75,3842,3720.5,3765.5,3765.5,2214003
3-Mar-21,3867.75,3897.75,3813,3816.75,3816.75,1541944
2-Mar-21,3903,3906.75,3865.75,3867.5,3867.5,1240740
1-Mar-21,3817,3912,3812.5,3898.75,3898.75,963058
26-Feb-21,3823,3858.75,3785,3809.25,3809.25,1906843
25-Feb-21,3923.75,3934.5,3810.25,3828,3828,1784926
24-Feb-21,3876.5,3927.75,3851.75,3922.5,3922.5,1166913
23-Feb-21,3877.75,3895.75,3804.75,3878,3878,1448708
22-Feb-21,3905,3914.25,3861.25,3873.5,3873.5,867790
19-Feb-21,3911,3931.25,3890.25,3903,3903,776526
18-Feb-21,3928,3936,3880.5,3909.5,3909.5,891820
17-Feb-21,3929.5,3932.5,3896.5,3928,3928,844376
16-Feb-21,3936.25,3959.25,3918.75,3927.75,3927.75,846600
12-Feb-21,3905.5,3936.25,3890.25,3931,3931,538150
11-Feb-21,3906.75,3920.75,3884.5,3912,3912,845446
