Date,Close/Last,Volume,Open,High,Low
06/01/2021,4198.60,1333201,4200.25,4203.00,4197.50
05/28/2021,4202.50,1035552,4211.25,4217.50,4201.00
05/27/2021,4199.00,1163991,4193.00,4211.50,4194.25
05/26/2021,4193.10,1035765,4188.00,4199.00,4187.25
05/25/2021,4185.50,1195504,4199.25,4212.75,4179.25
05/24/2021,4193.80,1016112,4151.50,4206.25,4142.50
05/21/2021,4151.75,1419777,4152.50,4185.00,4147.00
05/20/2021,4154.20,1444565,4107.75,4169.25,4084.50
05/19/2021,4111.50,2262941,4114.00,4113.75,4078.25
05/18/2021,4123.10,1251361,4159.00,4137.50,4111.50
05/17/2021,4157.80,1443400,4169.00,4162.50,4150.75
05/14/2021,4169.00,1462609,4112.50,4178.25,4105.25
05/13/2021,4107.10,2341209,4053.50,4126.75,4029.25
05/12/2021,4058.70,2574128,4140.00,4150.50,4051.00
05/11/2021,4146.20,2486175,4176.75,4150.50,4137.50
05/10/2021,4183.40,1629034,4226.75,4238.25,4172.00
05/07/2021,4225.25,1605992,4197.50,4231.75,4219.75
05/06/2021,4194.20,1724193,4158.75,4197.25,4160.00
05/05/2021,4159.90,1384352,4158.25,4163.25,4156.25
05/04/2021,4158.30,1951601,4184.25,4162.50,4135.50
05/03/2021,4185.80,1205298,4181.50,4202.50,4181.00
04/30/2021,4174.50,1849796,4200.75,4182.75,4167.25
04/29/2021,4203.40,1720930,4184.75,4205.25,4199.00
04/28/2021,4176.30,1252604,4180.25,4193.75,4172.75
04/27/2021,4178.90,963727,4181.50,4192.50,4166.75
04/26/2021,4179.40,989218,4170.75,4183.25,4176.25
04/23/2021,4171.50,1461431,4129.00,4186.75,4127.50
04/22/2021,4127.70,1924176,4157.50,4168.50,4115.25
04/21/2021,4164.80,1476724,4121.25,4167.25,4113.00
04/20/2021,4126.60,1664494,4156.25,4167.25,4110.50
04/19/2021,4155.50,1584699,4165.00,4174.75,4141.75
04/16/2021,4176.25,1243228,4162.75,4183.50,4154.25
04/15/2021,4162.40,1238347,4123.50,4166.50,4153.75
04/14/2021,4117.90,1495066,4134.75,4130.25,4113.00
04/13/2021,4132.80,1040626,4122.75,4139.75,4101.25
04/12/2021,4120.30,1045031,4114.25,4124.50,4104.50
04/09/2021,4119.50,1034843,4098.00,4121.50,4081.00
04/08/2021,4089.00,964989,4074.25,4098.50,4072.50
04/07/2021,4069.90,1071277,4067.00,4075.50,4058.25
04/06/2021,4064.00,1233658,4069.75,4076.00,4058.25
04/05/2021,4067.70,1206081,4030.00,4073.75,4021.00
04/01/2021,4010.00,1174633,3967.50,4015.25,3964.50
03/31/2021,3967.40,1565025,3949.50,3983.75,3941.50
03/30/2021,3947.70,1567430,3965.25,3968.50,3933.75
03/29/2021,3958.90,1963304,3962.25,3971.25,3928.75
03/26/2021,3964.75,1929470,3907.50,3968.00,3900.75
03/25/2021,3900.50,2250189,3882.75,3909.50,3870.00
03/24/2021,3880.80,2025004,3905.75,3931.50,3877.50
03/23/2021,3899.80,1844653,3933.25,3906.00,3890.50
03/22/2021,3930.00,1282989,3893.50,3944.50,3885.00
03/19/2021,3899.75,1986486,3910.75,3923.50,3875.00
03/18/2021,3906.00,2096466,3962.00,3978.50,3900.50
03/17/2021,3963.60,1922176,3957.25,3973.50,3925.00
03/16/2021,3962.40,865750,3967.00,3980.50,3952.75
03/15/2021,3967.60,1252265,3945.75,3969.75,3922.25
03/12/2021,3942.25,1416883,3937.50,3947.50,3910.25
03/11/2021,3936.70,1570749,3907.75,3958.50,3893.00
03/10/2021,3896.50,1817563,3878.50,3916.25,3856.25
03/09/2021,3873.30,1668143,3831.25,3901.25,3826.25
03/08/2021,3819.30,2156644,3854.75,3878.75,3796.25
03/05/2021,3839.00,2862110,3765.50,3850.00,3728.50
03/04/2021,3765.60,3146558,3818.00,3842.25,3720.50
03/03/2021,3816.70,2159367,3867.50,3898.00,3813.00
